epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,802.791,0.86055,0.57692,1.09259,0.97008,0.96584,0.98501,0.80034,0.73622,0.3773,1.0239,0.0089803,0.0089803,0.0089803
105,810.438,0.88718,0.59824,1.10989,0.95774,0.96232,0.98949,0.80652,0.75239,0.38373,1.02582,0.0089704,0.0089704,0.0089704
106,818.105,0.89282,0.61029,1.11144,0.96122,0.95713,0.98266,0.78649,0.77793,0.39501,1.03021,0.0089605,0.0089605,0.0089605
107,825.797,0.87623,0.59596,1.10742,0.97427,0.94073,0.98827,0.79943,0.76638,0.3913,1.04112,0.0089506,0.0089506,0.0089506
108,833.461,0.86747,0.58299,1.09285,0.97426,0.952,0.98474,0.78269,0.81912,0.39709,1.05233,0.0089407,0.0089407,0.0089407
109,841.146,0.88344,0.60169,1.10984,0.97558,0.96534,0.98818,0.807,0.75195,0.36128,1.03749,0.0089308,0.0089308,0.0089308
110,848.793,0.87059,0.57984,1.10185,0.96123,0.96554,0.98509,0.8012,0.75405,0.38992,1.02844,0.0089209,0.0089209,0.0089209
111,856.435,0.86974,0.58302,1.09876,0.96722,0.95013,0.98793,0.7995,0.76772,0.38706,1.0342,0.008911,0.008911,0.008911
112,864.082,0.87107,0.57763,1.09873,0.96078,0.96741,0.98429,0.79764,0.75446,0.3889,1.02429,0.0089011,0.0089011,0.0089011
113,871.721,0.85855,0.559,1.09629,0.97615,0.96651,0.98757,0.79202,0.77139,0.36488,1.03787,0.0088912,0.0088912,0.0088912
114,879.357,0.87152,0.58717,1.10178,0.97277,0.95517,0.97667,0.80496,0.72081,0.35259,1.01424,0.0088813,0.0088813,0.0088813
115,887.021,0.86817,0.57468,1.10005,0.9479,0.94478,0.97191,0.78949,0.75306,0.43147,1.01602,0.0088714,0.0088714,0.0088714
116,894.657,0.87121,0.58378,1.09912,0.96165,0.95542,0.97782,0.76928,0.79889,0.38525,1.05375,0.0088615,0.0088615,0.0088615
117,902.31,0.86853,0.58472,1.09974,0.95691,0.9508,0.98846,0.80088,0.744,0.37078,1.01645,0.0088516,0.0088516,0.0088516
118,909.974,0.86969,0.58895,1.10474,0.96439,0.97293,0.98082,0.79036,0.7724,0.37462,1.04296,0.0088417,0.0088417,0.0088417
119,917.572,0.8487,0.5733,1.09185,0.96932,0.94958,0.98753,0.79671,0.74517,0.40242,1.02758,0.0088318,0.0088318,0.0088318
120,925.212,0.86429,0.58174,1.09107,0.97739,0.97523,0.99054,0.80919,0.73099,0.34624,1.02637,0.0088219,0.0088219,0.0088219
121,933.047,0.84377,0.54785,1.08022,0.96877,0.96764,0.98957,0.81009,0.74872,0.35095,1.0259,0.008812,0.008812,0.008812
122,940.919,0.85329,0.5601,1.09124,0.96507,0.95157,0.98374,0.81002,0.72668,0.40091,1.02082,0.0088021,0.0088021,0.0088021
123,948.559,0.86375,0.56772,1.09695,0.96686,0.97354,0.99116,0.80273,0.74009,0.36284,1.02445,0.0087922,0.0087922,0.0087922
124,956.175,0.86337,0.56378,1.09495,0.97542,0.97145,0.9839,0.79256,0.76151,0.38393,1.03863,0.0087823,0.0087823,0.0087823
125,963.809,0.86157,0.56677,1.09498,0.9564,0.9598,0.9812,0.7919,0.7822,0.39172,1.03886,0.0087724,0.0087724,0.0087724
126,971.471,0.86169,0.57568,1.10027,0.97622,0.96738,0.98773,0.80807,0.7441,0.36574,1.01984,0.0087625,0.0087625,0.0087625
127,979.113,0.85811,0.57267,1.09222,0.95349,0.98259,0.98815,0.81484,0.73113,0.34779,1.01806,0.0087526,0.0087526,0.0087526
128,986.912,0.8619,0.58869,1.1008,0.96782,0.95916,0.98669,0.784,0.76062,0.3835,1.04937,0.0087427,0.0087427,0.0087427
129,994.582,0.86023,0.57018,1.10183,0.92033,0.95958,0.97495,0.77602,0.78025,0.4321,1.05239,0.0087328,0.0087328,0.0087328
130,1002.18,0.84418,0.55566,1.09323,0.96587,0.95201,0.98019,0.79377,0.76413,0.39527,1.03487,0.0087229,0.0087229,0.0087229
131,1009.8,0.86512,0.56435,1.10366,0.97786,0.97044,0.99093,0.80115,0.76125,0.34089,1.03487,0.008713,0.008713,0.008713
132,1017.46,0.84556,0.55563,1.08351,0.96662,0.96191,0.98879,0.798,0.77055,0.39077,1.03738,0.0087031,0.0087031,0.0087031
133,1025.1,0.85137,0.56247,1.0928,0.96945,0.94705,0.98389,0.80339,0.73475,0.35937,1.01923,0.0086932,0.0086932,0.0086932
134,1032.69,0.8281,0.54548,1.0775,0.97147,0.97467,0.98877,0.80627,0.75968,0.37088,1.02712,0.0086833,0.0086833,0.0086833
135,1040.31,0.84996,0.56524,1.08917,0.97628,0.97464,0.9922,0.80334,0.76043,0.34224,1.03002,0.0086734,0.0086734,0.0086734
136,1047.93,0.85091,0.56492,1.08875,0.97123,0.94658,0.98291,0.80913,0.72312,0.37702,1.01907,0.0086635,0.0086635,0.0086635
137,1055.55,0.85381,0.56372,1.09322,0.95966,0.96947,0.98985,0.80644,0.72931,0.34929,1.03563,0.0086536,0.0086536,0.0086536
138,1063.14,0.83287,0.56392,1.07959,0.9725,0.96595,0.98854,0.8081,0.73181,0.35367,1.02594,0.0086437,0.0086437,0.0086437
139,1070.8,0.82536,0.53309,1.07851,0.97086,0.95102,0.98449,0.79671,0.73698,0.37269,1.03169,0.0086338,0.0086338,0.0086338
140,1078.41,0.83408,0.57179,1.08223,0.97747,0.97021,0.98695,0.80513,0.73743,0.34522,1.03017,0.0086239,0.0086239,0.0086239
141,1086.06,0.82984,0.55098,1.07668,0.97504,0.98264,0.98963,0.80954,0.71555,0.33149,1.01038,0.008614,0.008614,0.008614
